주차장 이름,주변 주차장
법안정사 공영주차장(구),"법안정사 공영주차장(구): 10, 목동체비지 공영주차장(시): 298, 부영그린 공영노상주차장(구): 361, 양천사회단체봉사센터 공영주차장(구): 465, 홈플러스 목동점: 713"
신영시장 공동주차장(구),가로공원로 지하 주차장(구): 575
공유) 한강로동 22구간(구),"아모레퍼시픽 본사 주차장: 145, 공유) 한강로동 32구간(구): 519, 용산주차빌딩 공영주차장(시): 677"
아모레퍼시픽 본사 주차장,"공유) 한강로동 22구간(구): 145, 아이파크몰 용산점 주차장: 414, 공유) 한강로동 32구간(구): 523, 용산주차빌딩 공영주차장(시): 635"
아이파크몰 용산점 주차장,"아모레퍼시픽 본사 주차장: 414, 서울드래곤시티: 434, 공유) 한강로동 32구간(구): 682"
서울드래곤시티,"용산주차빌딩 공영주차장(시): 428, 아이파크몰 용산점 주차장: 434"
여의도한강2주차장(마포대교남단),"파크원 주차장: 395, 세우빌딩: 458, 앵커원: 537, 씨티플라자 주차장: 694"
세우빌딩,"신한드림리버오피스텔 주차장: 155, 여의도한강3주차장(서강대교남단): 307, 여의도한강2주차장(마포대교남단): 458, 파크원 주차장: 477, IFC 서울 주차장: 568, 아이엠(im)증권빌딩: 652"
신한드림리버오피스텔 주차장,"세우빌딩: 155, 여의도한강3주차장(서강대교남단): 304, 파크원 주차장: 519, IFC 서울 주차장: 526, 아이엠(im)증권빌딩: 577"
여의도한강3주차장(서강대교남단),"신한드림리버오피스텔 주차장: 304, 세우빌딩: 307"
당산고가밑 공영주차장(시),"당산역효성해링턴타워오피스텔 주차장: 34, 롯데마트맥스 영등포점: 628, 양화1주차장[당산철교 하부]: 632, 웨스턴베니비스 영등포점: 703"
당산역효성해링턴타워오피스텔 주차장,"당산고가밑 공영주차장(시): 34, 양화1주차장[당산철교 하부]: 634, 롯데마트맥스 영등포점: 655, 웨스턴베니비스 영등포점: 693"
YP센터 주차장,"영등포구청별관 공영주차장(구): 253, 서울양평점 롯데마트주차장(케이엠파크): 274, 웨스턴베니비스 영등포점: 412, 영등포구청(구): 433, 우림이비지센타 주차장: 434, 당산근린공원 공영(구): 505, 영등포구청역 공영주차장(시): 585"
영등포구청별관 공영주차장(구),"웨스턴베니비스 영등포점: 174, YP센터 주차장: 253, 영등포구청(구): 281, 당산근린공원 공영(구): 349, 서울양평점 롯데마트주차장(케이엠파크): 357, 영등포구청역 공영주차장(시): 470, 당산노외 공영주차장(시): 511"
양천사회단체봉사센터 공영주차장(구),"홈플러스 목동점: 263, 중소기업유통센터(행복한백화점): 283, 현대41타워옆 노상공영주차장(구): 446, 법안정사 공영주차장(구): 471, 현대백화점 목동점: 558, 목동체비지 공영주차장(시): 710"
중소기업유통센터(행복한백화점),"현대41타워옆 노상공영주차장(구): 205, 홈플러스 목동점: 270, 양천사회단체봉사센터 공영주차장(구): 283, 현대백화점 목동점: 295"
홈플러스 목동점,"양천사회단체봉사센터 공영주차장(구): 263, 중소기업유통센터(행복한백화점): 270, 현대41타워옆 노상공영주차장(구): 291, 현대백화점 목동점: 411, 법안정사 공영주차장(구): 717"
앵커원,"파크원 주차장: 256, 씨티플라자 주차장: 331, IFC 서울 주차장: 407, 현대차증권빌딩: 466, 여의도한강2주차장(마포대교남단): 537, 금융투자협회: 591"
IFC 서울 주차장,"씨티플라자 주차장: 118, 현대차증권빌딩: 123, 아이엠(im)증권빌딩: 145, 파크원 주차장: 290, 앵커원: 407, 여의도 사학연금(TP타워): 425, 신한드림리버오피스텔 주차장: 526, 세우빌딩: 568"
씨티플라자 주차장,"IFC 서울 주차장: 118, 현대차증권빌딩: 134, 아이엠(im)증권빌딩: 205, 파크원 주차장: 298, 앵커원: 331, 여의도 사학연금(TP타워): 387, 금융투자협회: 575, 여의도한강2주차장(마포대교남단): 694"
아이엠(im)증권빌딩,"현대차증권빌딩: 81, IFC 서울 주차장: 145, 씨티플라자 주차장: 205, 여의도 사학연금(TP타워): 322, 파크원 주차장: 436, 신한드림리버오피스텔 주차장: 577, 세우빌딩: 652, 금융투자협회: 694"
파크원 주차장,"앵커원: 256, IFC 서울 주차장: 290, 씨티플라자 주차장: 298, 여의도한강2주차장(마포대교남단): 395, 현대차증권빌딩: 402, 아이엠(im)증권빌딩: 436, 세우빌딩: 477, 신한드림리버오피스텔 주차장: 519, 여의도 사학연금(TP타워): 685"
현대차증권빌딩,"아이엠(im)증권빌딩: 81, IFC 서울 주차장: 123, 씨티플라자 주차장: 134, 여의도 사학연금(TP타워): 301, 파크원 주차장: 402, 앵커원: 466, 금융투자협회: 620"
여의도한강4주차장(여의2교-하부파천교),"당산2동(구): 530, 여의서로 공영주차장(시): 530"
당산2동(구),"롯데마트맥스 영등포점: 282, 영등포제2스포츠센터: 478, 여의도한강4주차장(여의2교-하부파천교): 530, 여의서로 공영주차장(시): 737"
롯데마트맥스 영등포점,"영등포제2스포츠센터: 209, 당산2동(구): 282, 코레일유통 본사 사옥 주차장: 321, 당산노외 공영주차장(시): 488, 당산고가밑 공영주차장(시): 628, 당산역효성해링턴타워오피스텔 주차장: 655"
영등포제2스포츠센터,"코레일유통 본사 사옥 주차장: 117, 롯데마트맥스 영등포점: 209, 당산노외 공영주차장(시): 293, 당산2동(구): 478, 당산고가밑 공영주차장(시): 646"
코레일유통 본사 사옥 주차장,"영등포제2스포츠센터: 117, 당산노외 공영주차장(시): 232, 롯데마트맥스 영등포점: 321"
당산근린공원 공영(구),"영등포구청(구): 72, 영등포구청역 공영주차장(시): 135, 웨스턴베니비스 영등포점: 231, 당산노외 공영주차장(시): 332, 영등포구청별관 공영주차장(구): 349, 서울양평점 롯데마트주차장(케이엠파크): 369, YP센터 주차장: 505"
영등포구청(구),"당산근린공원 공영(구): 72, 웨스턴베니비스 영등포점: 186, 영등포구청역 공영주차장(시): 190, 영등포구청별관 공영주차장(구): 281, 서울양평점 롯데마트주차장(케이엠파크): 317, 당산노외 공영주차장(시): 369, YP센터 주차장: 433"
당산노외 공영주차장(시),"코레일유통 본사 사옥 주차장: 232, 영등포제2스포츠센터: 293, 당산근린공원 공영(구): 332, 웨스턴베니비스 영등포점: 337, 영등포구청(구): 369, 영등포구청역 공영주차장(시): 409, 롯데마트맥스 영등포점: 488, 영등포구청별관 공영주차장(구): 511"
영등포구청역 공영주차장(시),"당산근린공원 공영(구): 135, 영등포구청(구): 190, 웨스턴베니비스 영등포점: 366, 서울양평점 롯데마트주차장(케이엠파크): 388, 당산노외 공영주차장(시): 409, 영등포구청별관 공영주차장(구): 470, YP센터 주차장: 585"
웨스턴베니비스 영등포점,"영등포구청별관 공영주차장(구): 174, 영등포구청(구): 186, 당산근린공원 공영(구): 231, 당산노외 공영주차장(시): 337, 영등포구청역 공영주차장(시): 366, YP센터 주차장: 412, 서울양평점 롯데마트주차장(케이엠파크): 419, 당산역효성해링턴타워오피스텔 주차장: 693, 당산고가밑 공영주차장(시): 703"
서울양평점 롯데마트주차장(케이엠파크),"YP센터 주차장: 274, 영등포구청(구): 317, 우림이비지센타 주차장: 327, 영등포구청별관 공영주차장(구): 357, 당산근린공원 공영(구): 369, 영등포구청역 공영주차장(시): 388, 웨스턴베니비스 영등포점: 419"
우림이비지센타 주차장,"서울양평점 롯데마트주차장(케이엠파크): 327, YP센터 주차장: 434"
현대41타워옆 노상공영주차장(구),"현대백화점 목동점: 120, 중소기업유통센터(행복한백화점): 205, 홈플러스 목동점: 291, 양천사회단체봉사센터 공영주차장(구): 446"
현대백화점 목동점,"현대41타워옆 노상공영주차장(구): 120, 중소기업유통센터(행복한백화점): 295, 홈플러스 목동점: 411, 양천사회단체봉사센터 공영주차장(구): 558, 제이월드빌: 746"
NH농협은행 목동역지점,어울림 공영주차장(구): 707
63스퀘어(63빌딩),"여의도한강공원1주차장(63빌딩앞): 214, 원효대교 남단 공영주차장(시): 356, 여의도한강5주차장(성모병원앞): 518"
여의도한강공원1주차장(63빌딩앞),"63스퀘어(63빌딩): 214, 원효대교 남단 공영주차장(시): 239, 여의도한강5주차장(성모병원앞): 677"
원효대교 남단 공영주차장(시),"여의도한강공원1주차장(63빌딩앞): 239, 63스퀘어(63빌딩): 356, 여의도한강5주차장(성모병원앞): 624"
여의도 사학연금(TP타워),"현대차증권빌딩: 301, 아이엠(im)증권빌딩: 322, 씨티플라자 주차장: 387, IFC 서울 주차장: 425, 금융투자협회: 514, 파크원 주차장: 685"
영남 공영주차장(시),"영등포동제3공영(구): 165, 세미콜론문래: 443, 영등포 롯데역사 주차장: 580"
목동우림필유,"한전 뒷길 노상주차장(구): 59, 제이월드빌: 106, 어울림 공영주차장(구): 144, 양천구청 노상공영주차장(구): 396, 양천경찰서 노상공영주차장(구): 569, 문화회관 동측 공영주차장(구): 650"
한전 뒷길 노상주차장(구),"목동우림필유: 59, 제이월드빌: 165, 어울림 공영주차장(구): 202, 양천구청 노상공영주차장(구): 339, 양천경찰서 노상공영주차장(구): 513, 문화회관 동측 공영주차장(구): 598"
어울림 공영주차장(구),"제이월드빌: 54, 목동우림필유: 144, 한전 뒷길 노상주차장(구): 202, 양천구청 노상공영주차장(구): 524, 양천경찰서 노상공영주차장(구): 691, NH농협은행 목동역지점: 707"
제이월드빌,"어울림 공영주차장(구): 54, 목동우림필유: 106, 한전 뒷길 노상주차장(구): 165, 양천구청 노상공영주차장(구): 499, 양천경찰서 노상공영주차장(구): 670, 현대백화점 목동점: 746"
LG전자베스트샵 양천본점,"밝은빛 공영주차장(구): 670, 목동이스타빌: 687"
웃우물 공영주차장(시),동방숯가마사우나: 510
동방숯가마사우나,웃우물 공영주차장(시): 510
동작대교 공영주차장(시),이촌2주차장[동작대교 하부]: 358
이촌2주차장[동작대교 하부],동작대교 공영주차장(시): 358
여의도한강5주차장(성모병원앞),"63스퀘어(63빌딩): 518, 원효대교 남단 공영주차장(시): 624, 여의도한강공원1주차장(63빌딩앞): 677"
금융투자협회,"여의도 사학연금(TP타워): 514, 씨티플라자 주차장: 575, 앵커원: 591, 현대차증권빌딩: 620, 아이엠(im)증권빌딩: 694"
신길환승(5호선)(구),"영등포로터리 공영주차장(시): 274, 영등포본동제2공영(구): 494"
영등포 롯데역사 주차장,"영등포로터리 공영주차장(시): 430, 영등포동제3공영(구): 471, 영남 공영주차장(시): 580"
영등포로터리 공영주차장(시),"신길환승(5호선)(구): 274, 영등포 롯데역사 주차장: 430, 영등포본동제2공영(구): 582"
영등포동제3공영(구),"영남 공영주차장(시): 165, 세미콜론문래: 328, 영등포 롯데역사 주차장: 471, 문래1동 공영주차장(시): 694"
세미콜론문래,"영등포동제3공영(구): 328, 문래1동 공영주차장(시): 372, 홈플러스 영등포점: 426, 영남 공영주차장(시): 443, 센터플러스: 504"
홈플러스 영등포점,"세미콜론문래: 426, 문래1동 공영주차장(시): 531"
양천구청 노상공영주차장(구),"양천경찰서 노상공영주차장(구): 175, 문화회관 동측 공영주차장(구): 278, 한전 뒷길 노상주차장(구): 339, 목동우림필유: 396, 목동이스타빌: 424, 누리 공영주차장(구): 438, 밝은빛 공영주차장(구): 497, 제이월드빌: 499, 어울림 공영주차장(구): 524, 동문굿모닝탑 앞 노상공영주차장(구): 568"
누리 공영주차장(구),"목동이스타빌: 123, 밝은빛 공영주차장(구): 149, 동문굿모닝탑 앞 노상공영주차장(구): 150, 문화회관 동측 공영주차장(구): 191, 양천경찰서 노상공영주차장(구): 264, 양천구청 노상공영주차장(구): 438"
동문굿모닝탑 앞 노상공영주차장(구),"밝은빛 공영주차장(구): 103, 누리 공영주차장(구): 150, 목동이스타빌: 158, 문화회관 동측 공영주차장(구): 295, 양천경찰서 노상공영주차장(구): 399, 양천구청 노상공영주차장(구): 568"
목동이스타빌,"밝은빛 공영주차장(구): 73, 누리 공영주차장(구): 123, 문화회관 동측 공영주차장(구): 145, 동문굿모닝탑 앞 노상공영주차장(구): 158, 양천경찰서 노상공영주차장(구): 266, 양천구청 노상공영주차장(구): 424, LG전자베스트샵 양천본점: 687"
문화회관 동측 공영주차장(구),"양천경찰서 노상공영주차장(구): 131, 목동이스타빌: 145, 누리 공영주차장(구): 191, 밝은빛 공영주차장(구): 218, 양천구청 노상공영주차장(구): 278, 동문굿모닝탑 앞 노상공영주차장(구): 295, 한전 뒷길 노상주차장(구): 598, 목동우림필유: 650"
밝은빛 공영주차장(구),"목동이스타빌: 73, 동문굿모닝탑 앞 노상공영주차장(구): 103, 누리 공영주차장(구): 149, 문화회관 동측 공영주차장(구): 218, 양천경찰서 노상공영주차장(구): 339, 양천구청 노상공영주차장(구): 497, LG전자베스트샵 양천본점: 670"
양천경찰서 노상공영주차장(구),"문화회관 동측 공영주차장(구): 131, 양천구청 노상공영주차장(구): 175, 누리 공영주차장(구): 264, 목동이스타빌: 266, 밝은빛 공영주차장(구): 339, 동문굿모닝탑 앞 노상공영주차장(구): 399, 한전 뒷길 노상주차장(구): 513, 목동우림필유: 569, 제이월드빌: 670, 어울림 공영주차장(구): 691"
반포1주차장[반포대교남단 상류],뉴코아 강남점: 608
영등포본동제2공영(구),"신길환승(5호선)(구): 494, 영등포로터리 공영주차장(시): 582"
문래1동 공영주차장(시),"센터플러스: 153, 세미콜론문래: 372, 홈플러스 영등포점: 531, 도림동 공영주차장(구): 581"
센터플러스,"문래1동 공영주차장(시): 153, 도림동 공영주차장(구): 428, 세미콜론문래: 504"
덕봉빌딩[중앙대 1호점],동해주차장[중앙대 2호점](민영): 44
동해주차장[중앙대 2호점](민영),덕봉빌딩[중앙대 1호점]: 44
공유) 동작도서관(01~05구간)(구),"공유) 동작도서관(22~26구간)(구): 81, 공유) 상도래미안(60~70구간)(구): 488"
공유) 동작도서관(22~26구간)(구),공유) 동작도서관(01~05구간)(구): 81
공유) 상도래미안(60~70구간)(구),공유) 동작도서관(01~05구간)(구): 488
도림동 공영주차장(구),"센터플러스: 428, 문래1동 공영주차장(시): 581"
신도림테크노마트주차장,현대백화점 디큐브시티: 218
현대백화점 디큐브시티,신도림테크노마트주차장: 218
공유) 장승배기로B(구),"공유) 동작도서관(01~05구간)(구): 437, 공유) 동작도서관(22~26구간)(구): 491, 공유) 상도래미안(60~70구간)(구): 644"
해군본부앞 공영주차장(시),메트하임: 589
스타팰리스,"NC백화점 신구로점[구로역 4호점]: 278, 구로5동마을공동주차장(구): 511"
구로대명벨리온,제니스스포츠클럽: 388
제니스스포츠클럽,구로대명벨리온: 388
반포서래공영주차장(구),서래마을공영주차장(구): 138
서래마을공영주차장(구),반포서래공영주차장(구): 138
메트하임,해군본부앞 공영주차장(시): 589
대림운동장(구),"대림역2 공영주차장(시): 359, 동구로 공영주차장(시): 570, 정현빌딩: 622"
구로5동마을공동주차장(구),"NC백화점 신구로점[구로역 4호점]: 291, 스타팰리스: 511"
NC백화점 신구로점[구로역 4호점],"스타팰리스: 278, 구로5동마을공동주차장(구): 291"
일이삼전자타운,아이파크몰 고척점 주차장: 219
대림프라자,아이파크몰 고척점 주차장: 440
아이파크몰 고척점 주차장,"일이삼전자타운: 219, 대림프라자: 440"
서울특별시보라매병원,"전문건설회관 주차장: 202, 해태보라매타워: 294, 롯데백화점 관악점 주차장: 368, 보라매상업 공영주차장(시): 394, 봉천복개3 공영주차장(시): 471"
대림역 공영주차장(시),"대림노외 공영주차장(시): 122, 정현빌딩: 127, 동구로 공영주차장(시): 327, 대림역2 공영주차장(시): 350"
대림노외 공영주차장(시),"대림역 공영주차장(시): 122, 정현빌딩: 149, 동구로 공영주차장(시): 332, 대림역2 공영주차장(시): 424, 벽산디지털밸리7차: 594, 대륭포스트타워7차: 615"
대림역2 공영주차장(시),"동구로 공영주차장(시): 219, 정현빌딩: 277, 대림역 공영주차장(시): 350, 대림운동장(구): 359, 대림노외 공영주차장(시): 424"
동구로 공영주차장(시),"정현빌딩: 201, 대림역2 공영주차장(시): 219, 대림역 공영주차장(시): 327, 대림노외 공영주차장(시): 332, 대림운동장(구): 570, 구로4동 주택가 공동 주차장(구): 742"
정현빌딩,"대림역 공영주차장(시): 127, 대림노외 공영주차장(시): 149, 동구로 공영주차장(시): 201, 대림역2 공영주차장(시): 277, 대림운동장(구): 622"
가마산고가밑 공영주차장(시),"고려대학교 구로병원: 182, 구로4동 주택가 공동 주차장(구): 522"
방배열린문화센터 공영주차장(구),방배1동 공영주차장(구): 385
서초 마제스타시티,"공유) 3-66(구): 288, 오퓨런스[서초역 1번출구]: 399, 우제빌딩 주차장: 428"
봉천복개3 공영주차장(시),"봉천복개3 공영주차장(시): 314, 롯데백화점 관악점 주차장: 389, 해태보라매타워: 432, 전문건설회관 주차장: 533, 타임스트림[신림역 2호점]: 590, 서울특별시보라매병원: 664"
롯데백화점 관악점 주차장,"해태보라매타워: 73, 봉천복개3 공영주차장(시): 107, 보라매상업 공영주차장(시): 150, 전문건설회관 주차장: 176, 서울특별시보라매병원: 368"
보라매상업 공영주차장(시),"롯데백화점 관악점 주차장: 150, 해태보라매타워: 166, 전문건설회관 주차장: 196, 봉천복개3 공영주차장(시): 211, 서울특별시보라매병원: 394"
전문건설회관 주차장,"해태보라매타워: 107, 롯데백화점 관악점 주차장: 176, 보라매상업 공영주차장(시): 196, 서울특별시보라매병원: 202, 봉천복개3 공영주차장(시): 283"
해태보라매타워,"롯데백화점 관악점 주차장: 73, 전문건설회관 주차장: 107, 보라매상업 공영주차장(시): 166, 봉천복개3 공영주차장(시): 178, 서울특별시보라매병원: 294"
고려대학교 구로병원,"가마산고가밑 공영주차장(시): 182, 구로4동 주택가 공동 주차장(구): 341"
구로4동 주택가 공동 주차장(구),"고려대학교 구로병원: 341, 가마산고가밑 공영주차장(시): 522, 동구로 공영주차장(시): 742"
방배1동 공영주차장(구),방배열린문화센터 공영주차장(구): 385
공유) 삼일주차장(민영),"공유) 은행나무골(구): 351, 공유) 사당동 남일교회(1~19 구간)(구): 612"
타임스트림[신림역 2호점],봉천복개3 공영주차장(시): 590
구로디지털단지역 공영주차장(시),"구로디지털단지역(상) 공영주차장(시): 188, 이마트구로점: 313, 지플러스타워: 397, 코오롱 디지털타워 빌란트 1차: 469, JNK디지털타워: 499"
구로디지털단지역(상) 공영주차장(시),"구로디지털단지역 공영주차장(시): 188, 이마트구로점: 469, 지플러스타워: 512"
TP타워,"삼성IT밸리 주차장: 102, 에이스테크노타워3차 주차장: 176, 우림이비지센터: 196, 코오롱 디지털타워 빌란트 1차: 228, 대륭포스트타워7차: 244, 이마트구로점: 266, 벽산디지털밸리7차: 277, 마리오타워: 326, 지플러스타워: 338, JNK디지털타워: 350, 에이스 하이엔드 타워 1차 부설주차장: 426, 구로 한화비즈메트로: 520, G-Tower[구로 지스퀘어점]: 554"
삼성IT밸리 주차장,"TP타워: 102, 우림이비지센터: 108, 대륭포스트타워7차: 143, 벽산디지털밸리7차: 175, 에이스테크노타워3차 주차장: 220, 코오롱 디지털타워 빌란트 1차: 328, 이마트구로점: 337, 마리오타워: 427, 지플러스타워: 430, JNK디지털타워: 451, 에이스 하이엔드 타워 1차 부설주차장: 512, 구로 한화비즈메트로: 603"
우림이비지센터,"대륭포스트타워7차: 73, 삼성IT밸리 주차장: 108, 벽산디지털밸리7차: 126, TP타워: 196, 에이스테크노타워3차 주차장: 328, 이마트구로점: 367, 코오롱 디지털타워 빌란트 1차: 401, 지플러스타워: 486, 마리오타워: 522, JNK디지털타워: 525, 대림역 공영주차장(시): 617, 에이스 하이엔드 타워 1차 부설주차장: 618"
대륭포스트타워7차,"벽산디지털밸리7차: 53, 우림이비지센터: 73, 삼성IT밸리 주차장: 143, TP타워: 244, 에이스테크노타워3차 주차장: 344, 이마트구로점: 439, 코오롱 디지털타워 빌란트 1차: 462, 지플러스타워: 554, 마리오타워: 570, JNK디지털타워: 587, 대림역 공영주차장(시): 613, 대림노외 공영주차장(시): 615"
벽산디지털밸리7차,"대륭포스트타워7차: 53, 우림이비지센터: 126, 삼성IT밸리 주차장: 175, TP타워: 277, 에이스테크노타워3차 주차장: 352, 이마트구로점: 489, 코오롱 디지털타워 빌란트 1차: 502, 대림노외 공영주차장(시): 594, 마리오타워: 599, 지플러스타워: 599, JNK디지털타워: 626, 대림역 공영주차장(시): 629"
에이스테크노타워3차 주차장,"TP타워: 176, 삼성IT밸리 주차장: 220, 마리오타워: 300, 코오롱 디지털타워 빌란트 1차: 301, 에이스 하이엔드 타워 1차 부설주차장: 316, 우림이비지센터: 328, 대륭포스트타워7차: 344, 벽산디지털밸리7차: 352, JNK디지털타워: 394, 구로 한화비즈메트로: 400, 이마트구로점: 407, 지플러스타워: 426, G-Tower[구로 지스퀘어점]: 499"
천왕역 공영주차장(시),랑데르오피스텔상가: 112
랑데르오피스텔상가,천왕역 공영주차장(시): 112
공유) 은행나무골(구),공유) 삼일주차장(민영): 351
G-Tower[구로 지스퀘어점],"에이스 하이엔드 타워 1차 부설주차장: 220, 구로 한화비즈메트로: 221, 마리오타워: 228, JNK디지털타워: 294, 코오롱 디지털타워 빌란트 1차: 382, 지플러스타워: 395, 에이스테크노타워3차 주차장: 499, 이마트구로점: 526, TP타워: 554"
JNK디지털타워,"지플러스타워: 102, 코오롱 디지털타워 빌란트 1차: 124, 마리오타워: 149, 이마트구로점: 234, G-Tower[구로 지스퀘어점]: 294, 에이스 하이엔드 타워 1차 부설주차장: 331, TP타워: 350, 에이스테크노타워3차 주차장: 394, 구로 한화비즈메트로: 407, 삼성IT밸리 주차장: 451, 구로디지털단지역 공영주차장(시): 499, 우림이비지센터: 525, 대륭포스트타워7차: 587, 벽산디지털밸리7차: 626"
마리오타워,"JNK디지털타워: 149, 코오롱 디지털타워 빌란트 1차: 172, 에이스 하이엔드 타워 1차 부설주차장: 184, G-Tower[구로 지스퀘어점]: 228, 지플러스타워: 239, 구로 한화비즈메트로: 269, 에이스테크노타워3차 주차장: 300, TP타워: 326, 이마트구로점: 332, 삼성IT밸리 주차장: 427, 우림이비지센터: 522, 대륭포스트타워7차: 570, 벽산디지털밸리7차: 599"
지플러스타워,"JNK디지털타워: 102, 코오롱 디지털타워 빌란트 1차: 124, 이마트구로점: 148, 마리오타워: 239, TP타워: 338, G-Tower[구로 지스퀘어점]: 395, 구로디지털단지역 공영주차장(시): 397, 에이스 하이엔드 타워 1차 부설주차장: 424, 에이스테크노타워3차 주차장: 426, 삼성IT밸리 주차장: 430, 우림이비지센터: 486, 구로 한화비즈메트로: 505, 구로디지털단지역(상) 공영주차장(시): 512, 대륭포스트타워7차: 554, 벽산디지털밸리7차: 599"
코오롱 디지털타워 빌란트 1차,"JNK디지털타워: 124, 지플러스타워: 124, 이마트구로점: 162, 마리오타워: 172, TP타워: 228, 에이스테크노타워3차 주차장: 301, 삼성IT밸리 주차장: 328, 에이스 하이엔드 타워 1차 부설주차장: 345, G-Tower[구로 지스퀘어점]: 382, 우림이비지센터: 401, 구로 한화비즈메트로: 436, 대륭포스트타워7차: 462, 구로디지털단지역 공영주차장(시): 469, 벽산디지털밸리7차: 502"
구로 한화비즈메트로,"에이스 하이엔드 타워 1차 부설주차장: 95, G-Tower[구로 지스퀘어점]: 221, 마리오타워: 269, 에이스테크노타워3차 주차장: 400, JNK디지털타워: 407, 코오롱 디지털타워 빌란트 1차: 436, 하이힐(현대시티아울렛): 484, 지플러스타워: 505, TP타워: 520, 이마트구로점: 598, 삼성IT밸리 주차장: 603, 더리즌밸리 주차장: 668"
에이스 하이엔드 타워 1차 부설주차장,"구로 한화비즈메트로: 95, 마리오타워: 184, G-Tower[구로 지스퀘어점]: 220, 에이스테크노타워3차 주차장: 316, JNK디지털타워: 331, 코오롱 디지털타워 빌란트 1차: 345, 지플러스타워: 424, TP타워: 426, 이마트구로점: 507, 삼성IT밸리 주차장: 512, 하이힐(현대시티아울렛): 578, 우림이비지센터: 618"
SJ테크노빌 주차장(롯데팩토리아울렛),"마리오아울렛 3관: 113, 마리오아울렛 2관: 180, 가산 우림라이온스밸리: 189, 스타밸리 주차장: 251, stx V-TOWER 주차장: 256, 마리오아울렛 1관: 262, 에이스하이엔드3차 주차장: 292, 가산비즈니스센터: 322, 하이힐(현대시티아울렛): 451, 에이스테크노타워10차 주차장: 490, 더리즌밸리 주차장: 512"
스타밸리 주차장,"SJ테크노빌 주차장(롯데팩토리아울렛): 251, 가산 우림라이온스밸리: 282, 에이스테크노타워10차 주차장: 352, 마리오아울렛 3관: 358, 마리오아울렛 2관: 362, 가산비즈니스센터: 373, 마리오아울렛 1관: 437, 에이스하이엔드3차 주차장: 482, stx V-TOWER 주차장: 505, 하이힐(현대시티아울렛): 593"
가산 우림라이온스밸리,"가산비즈니스센터: 132, SJ테크노빌 주차장(롯데팩토리아울렛): 189, 에이스하이엔드3차 주차장: 211, 마리오아울렛 3관: 272, 스타밸리 주차장: 282, stx V-TOWER 주차장: 318, 에이스테크노타워10차 주차장: 353, 마리오아울렛 2관: 368, 마리오아울렛 1관: 448, 가산A1타워 주차장: 468, 디폴리스 주차장: 480, 백상스타타워2차: 529"
가산A1타워 주차장,"백상스타타워2차: 133, 에이스테크노타워10차 주차장: 202, 대륭테크노타운6차 주차장: 316, 가산비즈니스센터: 365, 디폴리스 주차장: 381, 대륭테크노타운5차: 385, 가산 우림라이온스밸리: 468, 에이스하이엔드3차 주차장: 593"
가산비즈니스센터,"가산 우림라이온스밸리: 132, 에이스하이엔드3차 주차장: 234, 에이스테크노타워10차 주차장: 303, SJ테크노빌 주차장(롯데팩토리아울렛): 322, 디폴리스 주차장: 352, 가산A1타워 주차장: 365, 스타밸리 주차장: 373, 마리오아울렛 3관: 397, stx V-TOWER 주차장: 405, 백상스타타워2차: 407, 대륭테크노타운5차: 451, 대륭테크노타운6차 주차장: 455, 마리오아울렛 2관: 499"
에이스테크노타워10차 주차장,"가산A1타워 주차장: 202, 가산비즈니스센터: 303, 백상스타타워2차: 328, 스타밸리 주차장: 352, 가산 우림라이온스밸리: 353, 대륭테크노타운6차 주차장: 488, SJ테크노빌 주차장(롯데팩토리아울렛): 490, 디폴리스 주차장: 495, 에이스하이엔드3차 주차장: 533, 대륭테크노타운5차: 538, 마리오아울렛 3관: 599, 마리오아울렛 2관: 660"
대륭테크노타운5차,"대륭테크노타운6차 주차장: 90, 디폴리스 주차장: 117, 백상스타타워2차: 268, 가산A1타워 주차장: 385, 가산비즈니스센터: 451, 에이스테크노타워10차 주차장: 538"
대륭테크노타운6차 주차장,"대륭테크노타운5차: 90, 디폴리스 주차장: 175, 백상스타타워2차: 189, 가산A1타워 주차장: 316, 가산비즈니스센터: 455, 에이스테크노타워10차 주차장: 488"
디폴리스 주차장,"대륭테크노타운5차: 117, 대륭테크노타운6차 주차장: 175, 백상스타타워2차: 295, 가산비즈니스센터: 352, 가산A1타워 주차장: 381, 에이스하이엔드3차 주차장: 450, 가산 우림라이온스밸리: 480, 에이스테크노타워10차 주차장: 495"
백상스타타워2차,"가산A1타워 주차장: 133, 대륭테크노타운6차 주차장: 189, 대륭테크노타운5차: 268, 디폴리스 주차장: 295, 에이스테크노타워10차 주차장: 328, 가산비즈니스센터: 407, 가산 우림라이온스밸리: 529, 에이스하이엔드3차 주차장: 611"
사당노외 공영주차장(시),"남현동 도원빌딩: 436, 홈플러스 남현점: 456"
남현동 도원빌딩,"사당노외 공영주차장(시): 436, 홈플러스 남현점: 604"
하이힐(현대시티아울렛),"마리오아울렛 1관: 192, 더리즌밸리 주차장: 194, 마리오아울렛 2관: 271, 마리오아울렛 3관: 378, SJ테크노빌 주차장(롯데팩토리아울렛): 451, stx V-TOWER 주차장: 478, 구로 한화비즈메트로: 484, 에이스 하이엔드 타워 1차 부설주차장: 578, 스타밸리 주차장: 593"
